----------------------------------------
| act/                      |          |
|    idle_share             | 0.742       |
|    job_share              | 0.119       |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 6.75        |
|    outage                 | 14.8        |
|    skipped                | 31          |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.679       |
|    critical_done_on_time  | 173         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.518       |
|    episodes               | 32          |
|    jobs_completed         | 821         |
|    jobs_due_missed        | 387         |
|    min_soc_pct            | 45.5        |
|    revenue_usd            | 2e+04       |
|    work_lost_steps        | 145         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.42e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 8           |
|    time_elapsed           | 872         |
|    total_timesteps        | 9216        |
| train/                    |             |
|    approx_kl              | 0.018783368 |
|    clip_fraction          | 0.323       |
|    clip_range             | 0.2         |
|    entropy_loss           | -35         |
|    explained_variance     | 0.0106      |
|    learning_rate          | 3e-05       |
|    loss                   | 7.35e+03    |
|    n_updates              | 28          |
|    policy_gradient_loss   | 0.0118      |
|    value_loss             | 1.56e+04    |
-------------------------------------------
------------------------------------------
| act/                      |            |
|    calibrate_share        | 0.15       |
|    conflicts_repaired     | 374        |
|    downlink_slots_used    | 88         |
|    executor_switches      | 211        |
|    idle_share             | 0.731      |
|    job_share              | 0.119      |
| events/                   |            |
|    add_jobs               | 0          |
|    close_downlink         | 7.5        |
|    outage                 | 15.5       |
|    skipped                | 29         |
| ops/                      |            |
|    below_reserve_steps    | 0          |
|    blocked_commands       | 0          |
|    brownout_steps         | 0          |
|    completed_share        | 0.682      |
|    critical_done_on_time  | 173        |
|    critical_due           | 334        |
|    critical_on_time_share | 0.519      |
|    episodes               | 36         |
|    jobs_completed         | 824        |
|    jobs_due_missed        | 384        |
|    min_soc_pct            | 46.4       |
|    revenue_usd            | 2.04e+04   |
|    work_lost_steps        | 148        |
| rollout/                  |            |
|    ep_len_mean            | 288        |
|    ep_rew_mean            | 2.4e+03    |
| time/                     |            |
|    fps                    | 10         |
|    iterations             | 9          |
|    time_elapsed           | 994        |
|    total_timesteps        | 10368      |
| train/                    |            |
|    approx_kl              | 0.00934839 |
|    clip_fraction          | 0.176      |
|    clip_range             | 0.2        |
|    entropy_loss           | -35.4      |
|    explained_variance     | 0.0115     |
|    learning_rate          | 3e-05      |
|    loss                   | 6.45e+03   |
|    n_updates              | 32         |
|    policy_gradient_loss   | 0.0146     |
|    value_loss             | 1.54e+04   |
------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.152       |
|    conflicts_repaired     | 383         |
|    downlink_slots_used    | 92.8        |
|    executor_switches      | 219         |
|    idle_share             | 0.728       |
|    job_share              | 0.12        |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 10.8        |
|    outage                 | 15.8        |
|    skipped                | 38.5        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.695       |
|    critical_done_on_time  | 186         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.556       |
|    episodes               | 40          |
|    jobs_completed         | 840         |
|    jobs_due_missed        | 368         |
|    min_soc_pct            | 45.9        |
|    revenue_usd            | 2.05e+04    |
|    work_lost_steps        | 124         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.4e+03     |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 10          |
|    time_elapsed           | 1111        |
|    total_timesteps        | 11520       |
| train/                    |             |
|    approx_kl              | 0.016903182 |
|    clip_fraction          | 0.279       |
|    clip_range             | 0.2         |
|    entropy_loss           | -36.3       |
|    explained_variance     | 0.0139      |
|    learning_rate          | 3e-05       |
|    loss                   | 5.95e+03    |
|    n_updates              | 36          |
|    policy_gradient_loss   | 0.00567     |
|    value_loss             | 1.52e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.163       |
|    conflicts_repaired     | 373         |
|    downlink_slots_used    | 91.2        |
|    executor_switches      | 216         |
|    idle_share             | 0.717       |
|    job_share              | 0.12        |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 9.5         |
|    outage                 | 13.2        |
|    skipped                | 34.2        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.691       |
|    critical_done_on_time  | 181         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.542       |
|    episodes               | 44          |
|    jobs_completed         | 835         |
|    jobs_due_missed        | 373         |
|    min_soc_pct            | 45.5        |
|    revenue_usd            | 2.07e+04    |
|    work_lost_steps        | 136         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.39e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 11          |
|    time_elapsed           | 1234        |
|    total_timesteps        | 12672       |
| train/                    |             |
|    approx_kl              | 0.019857116 |
|    clip_fraction          | 0.341       |
|    clip_range             | 0.2         |
|    entropy_loss           | -36.9       |
|    explained_variance     | 0.0178      |
|    learning_rate          | 3e-05       |
|    loss                   | 5.95e+03    |
|    n_updates              | 40          |
|    policy_gradient_loss   | 0.0192      |
|    value_loss             | 1.66e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.171       |
|    conflicts_repaired     | 384         |
|    downlink_slots_used    | 85          |
|    executor_switches      | 219         |
|    idle_share             | 0.709       |
|    job_share              | 0.12        |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 9.25        |
|    outage                 | 15.5        |
|    skipped                | 34.2        |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.695       |
|    critical_done_on_time  | 180         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.54        |
|    episodes               | 48          |
|    jobs_completed         | 839         |
|    jobs_due_missed        | 369         |
|    min_soc_pct            | 45.4        |
|    revenue_usd            | 2.06e+04    |
|    work_lost_steps        | 126         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.39e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 12          |
|    time_elapsed           | 1357        |
|    total_timesteps        | 13824       |
| train/                    |             |
|    approx_kl              | 0.016469693 |
|    clip_fraction          | 0.352       |
|    clip_range             | 0.2         |
|    entropy_loss           | -37.7       |
|    explained_variance     | 0.0175      |
|    learning_rate          | 3e-05       |
|    loss                   | 5.98e+03    |
|    n_updates              | 44          |
|    policy_gradient_loss   | 0.0159      |
|    value_loss             | 1.54e+04    |
-------------------------------------------
-------------------------------------------
| act/                      |             |
|    calibrate_share        | 0.176       |
|    conflicts_repaired     | 402         |
|    downlink_slots_used    | 88.8        |
|    executor_switches      | 223         |
|    idle_share             | 0.703       |
|    job_share              | 0.12        |
| events/                   |             |
|    add_jobs               | 0           |
|    close_downlink         | 8.25        |
|    outage                 | 13.8        |
|    skipped                | 31          |
| ops/                      |             |
|    below_reserve_steps    | 0           |
|    blocked_commands       | 0           |
|    brownout_steps         | 0           |
|    completed_share        | 0.693       |
|    critical_done_on_time  | 181         |
|    critical_due           | 334         |
|    critical_on_time_share | 0.543       |
|    episodes               | 52          |
|    jobs_completed         | 838         |
|    jobs_due_missed        | 370         |
|    min_soc_pct            | 47.1        |
|    revenue_usd            | 2.06e+04    |
|    work_lost_steps        | 136         |
| rollout/                  |             |
|    ep_len_mean            | 288         |
|    ep_rew_mean            | 2.38e+03    |
| time/                     |             |
|    fps                    | 10          |
|    iterations             | 13          |
|    time_elapsed           | 1475        |
|    total_timesteps        | 14976       |
| train/                    |             |
|    approx_kl              | 0.015926762 |
|    clip_fraction          | 0.281       |
|    clip_range             | 0.2         |
|    entropy_loss           | -37.8       |
|    explained_variance     | 0.0211      |
|    learning_rate          | 3e-05       |
|    loss                   | 5.59e+03    |
|    n_updates              | 48          |
|    policy_gradient_loss   | 0.0184      |
|    value_loss             | 1.41e+04    |
-------------------------------------------
